KOD,MANDAT_VALKRETS,RÖSTER,KOMMUNKOD,MP_RÖSTER,MP_PROCENT,MP_MANDAT
143000,35,6277,1430,257,"4,09",1
106000,49,8290,1060,165,"1,99",1
148801,30,17647,1488,1131,"6,41",2
148802,31,16707,1488,836,"5,00",2
076300,41,7787,0763,334,"4,29",2
203100,39,7055,2031,297,"4,21",2
147100,41,8586,1471,437,"5,09",2
126100,49,18360,1261,863,"4,70",2
056200,45,13571,0562,687,"5,06",2
127700,31,8111,1277,239,"2,95",1
176200,31,2504,1762,20,"0,80",0
108300,49,11095,1083,375,"3,38",2
198001,31,44392,1980,2704,"6,09",2
198002,30,42266,1980,2562,"6,06",2
171500,35,7517,1715,433,"5,76",2
148400,41,9578,1484,393,"4,10",2
078001,30,25988,0780,1604,"6,17",2
078002,31,26650,0780,2200,"8,26",3
218102,18,8084,2181,369,"4,56",1
218101,33,15494,2181,668,"4,31",1
125700,45,5743,1257,92,"1,60",1
149200,35,7783,1492,337,"4,33",2
188400,35,6651,1884,271,"4,07",1
248201,34,24707,2482,1110,"4,49",2
248202,31,22701,2482,1136,"5,00",2
068400,45,6962,0684,89,"1,28",0
208502,20,7405,2085,279,"3,77",1
208501,25,8838,2085,480,"5,43",1
030500,41,12036,0305,494,"4,10",2
018602,26,14071,0186,956,"6,79",2
018601,25,14249,0186,962,"6,75",2
088500,41,7280,0885,370,"5,08",2
128202,25,12778,1282,373,"2,92",1
128201,26,12180,1282,355,"2,91",1
238001,32,18236,2380,1519,"8,33",3
238002,35,19759,2380,1432,"7,25",2
058101,43,40180,0581,3636,"9,05",4
058102,42,40831,0581,2422,"5,93",3
012800,31,9324,0128,614,"6,59",2
144700,35,3477,1447,81,"2,33",1
228401,27,15836,2284,552,"3,49",1
228402,34,20440,2284,595,"2,91",1
178100,41,15683,1781,618,"3,94",2
178001,29,26960,1780,2086,"7,74",2
178002,32,29563,1780,2419,"8,18",3
019102,25,10696,0191,503,"4,70",1
019101,26,12634,0191,559,"4,42",1
048403,19,13927,0484,1285,"9,23",2
048404,19,13785,0484,1034,"7,50",1
048401,21,16064,0484,1332,"8,29",2
048402,20,14435,0484,1027,"7,11",1
251300,31,2483,2513,73,"2,94",1
144600,31,4556,1446,169,"3,71",1
240100,31,4640,2401,95,"2,05",0
098002,21,11119,0980,795,"7,15",2
098003,21,11360,0980,759,"6,68",2
098001,29,15142,0980,1652,"10,91",3
058003,28,33536,0580,2623,"7,82",2
058001,26,29947,0580,2832,"9,46",3
058002,25,30258,0580,3221,"10,65",3
241700,31,2671,2417,18,"0,67",0
140700,41,8272,1407,609,"7,36",3
018700,31,7051,0187,458,"6,50",2
088400,49,9934,0884,483,"4,86",2
128302,21,23725,1283,2047,"8,63",2
128301,23,29521,1283,2602,"8,81",2
128303,21,25770,1283,2153,"8,35",2
250500,31,4391,2505,76,"1,73",0
208400,41,14218,2084,555,"3,90",2
068500,45,16681,0685,609,"3,65",2
149300,49,15193,1493,668,"4,40",2
188500,45,14714,1885,689,"4,68",2
218002,22,20582,2180,1565,"7,60",2
218001,26,23585,2180,1942,"8,23",2
218003,17,16435,2180,1157,"7,04",1
125600,31,8531,1256,333,"3,90",1
230300,31,3455,2303,26,"0,75",0
148501,20,10829,1485,916,"8,46",2
148502,22,11812,1485,758,"6,42",1
148503,19,10211,1485,646,"6,33",1
078100,49,17034,0781,617,"3,62",2
108202,26,10170,1082,692,"6,80",2
108201,25,10173,1082,1129,"11,10",3
198100,45,13865,1981,643,"4,64",2
127600,41,9646,1276,337,"3,49",1
176300,41,7429,1763,220,"2,96",1
048800,35,7482,0488,466,"6,23",2
012500,41,16088,0125,1559,"9,69",4
056300,35,5276,0563,179,"3,39",1
126000,31,8323,1260,291,"3,50",1
142700,31,6227,1427,220,"3,53",1
147000,45,10077,1470,231,"2,29",1
246000,35,5344,2460,246,"4,60",2
148901,26,12776,1489,1185,"9,28",2
148902,25,11789,1489,1280,"10,86",3
146600,41,6012,1466,204,"3,39",1
202600,35,6448,2026,343,"5,32",2
196200,31,3666,1962,125,"3,41",1
242100,41,3846,2421,30,"0,78",0
038102,25,11969,0381,763,"6,37",2
038101,26,13076,0381,793,"6,06",2
258001,30,24133,2580,1343,"5,56",2
258002,31,25311,2580,1249,"4,93",2
148201,28,12409,1482,745,"6,00",2
148202,31,14765,1482,835,"5,66",2
149402,27,13583,1494,803,"5,91",2
149401,24,11685,1494,597,"5,11",1
188200,33,7465,1882,317,"4,25",1
084000,49,9317,0840,500,"5,37",3
051300,35,6365,0513,494,"7,76",3
068202,23,7788,0682,242,"3,11",1
068201,34,10731,0682,414,"3,86",1
208300,41,9496,2083,568,"5,98",2
011401,26,11784,0114,1343,"11,40",3
011402,25,11618,0114,989,"8,51",2
190400,31,2970,1904,135,"4,55",2
088301,32,13442,0883,561,"4,17",1
088302,25,10588,0883,356,"3,36",1
018001,20,110005,0180,20945,"19,04",4
018002,15,87190,0180,10697,"12,27",2
018003,17,96424,0180,9764,"10,13",2
018004,17,83623,0180,12767,"15,27",3
018005,16,83288,0180,12699,"15,25",3
018006,16,76153,0180,7565,"9,93",2
128400,41,16042,1284,1068,"6,66",3
013802,24,12636,0138,1110,"8,78",2
013801,27,13859,0138,1249,"9,01",2
138001,36,31089,1380,1951,"6,28",2
138002,35,27935,1380,1691,"6,05",2
144101,25,12248,1441,1173,"9,58",2
144102,26,12450,1441,1183,"9,50",2
228200,41,12629,2282,478,"3,78",2
129202,26,12712,1292,668,"5,25",1
129201,25,12435,1292,717,"5,77",1
048302,26,10338,0483,620,"6,00",2
048301,25,10251,0483,706,"6,89",2
251400,41,10986,2514,1825,"16,61",7
050900,35,3425,0509,235,"6,86",2
202100,31,4404,2021,67,"1,52",0
076500,41,9774,0765,407,"4,16",2
146100,41,5748,1461,247,"4,30",2
149800,41,8290,1498,346,"4,17",2
186100,45,9887,1861,422,"4,27",2
126700,41,9555,1267,716,"7,49",3
086000,45,8818,0860,334,"3,79",2
016302,32,20569,0163,1415,"6,88",2
